2022-11-30 20:24:28,704 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-11-30 20:27:47,503 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-11-30 20:27:50,932 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-11-30 20:28:01,344 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-11-30 20:28:03,181 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-11-30 20:28:03,884 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-11-30 20:28:14,230 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-11-30 20:28:14,904 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-11-30 20:28:15,194 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-11-30 20:29:12,342 | FemsService | INFO | succeed to do 'Get_AHU_Info('AHU-01')'
2022-11-30 20:29:21,789 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-11-30 20:29:33,686 | FemsService | INFO | error to do 'Get_AHU_KWh_Hourly_Data('I00','20210501')'
2022-11-30 20:31:17,868 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210501')'
2022-11-30 20:31:27,960 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:14:30,688 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:14:47,449 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20220505')'
2022-12-01 14:15:32,737 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:24:30,503 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:24:44,035 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:27:44,627 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:30:23,956 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:31:44,984 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210505')'
2022-12-01 14:32:33,111 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20221001')'
2022-12-01 14:32:34,324 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20221001')'
2022-12-01 14:33:26,054 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:41:47,038 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:42:13,933 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:43:15,508 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:44:55,327 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20220505')'
2022-12-01 14:46:15,173 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:46:21,131 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:54:46,988 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:56:20,304 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20220818')'
2022-12-01 14:57:04,078 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 14:57:14,099 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','2021')'
2022-12-01 15:43:58,834 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:02:48,142 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:03:47,062 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:03:52,028 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:04:01,404 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:04:07,350 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:04:09,701 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:04:14,558 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:05:17,002 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:05:28,390 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:06:21,205 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:06:32,170 | FemsService | INFO | succeed to do 'Get_AHU_KWh_Hourly_Data('I00','20210510')'
2022-12-01 20:07:19,166 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:10:21,516 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:10:36,565 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:11:57,704 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:12:13,935 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:12:33,400 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:13:57,089 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:15:09,447 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:16:03,990 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:16:50,312 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:16:53,231 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:16:59,520 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:17:08,863 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:17:32,379 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:17:40,329 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:17:46,995 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:17:49,131 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:29:25,921 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:29:34,320 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:29:43,187 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:29:43,910 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:29:46,660 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:32:15,514 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:32:16,493 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:32:17,159 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:32:21,135 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:22,100 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:23,194 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:23,926 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:24,960 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:25,677 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:26,717 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:27,467 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:28,563 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:29,293 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:30,356 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:31,068 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('A00','20210404')'
2022-12-01 20:32:32,063 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:32:32,811 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
2022-12-01 20:32:33,806 | FemsService | INFO | succeed to do 'Get_AHU_temp_Hourly_Data('undefined','undefined')'
